,Country,Cloudiness,Humidity,Date,Latitude,Longitude,Max Temp,Wind Speed,City
349,AU,75,100,1616429717,-31.4333,152.9167,19.0,4.12,port macquarie
350,US,90,93,1616429544,36.6828,-101.4816,6.0,6.69,guymon
351,ID,97,84,1616429720,-3.3333,128.9167,26.7,1.31,amahai
352,ID,88,80,1616429721,5.5577,95.3222,27.35,2.98,banda aceh
353,ML,0,12,1616429722,18.4411,1.4078,36.04,5.48,kidal
354,US,1,52,1616429724,33.229,-87.5772,19.0,5.14,northport
355,JP,31,82,1616429725,37.65,139.8667,5.0,2.32,kitakata
356,RU,100,86,1616429727,59.5833,151.2833,-10.57,12.06,ola
357,VE,62,55,1616429728,5.6639,-67.6236,31.27,2.19,puerto ayacucho
358,FO,75,100,1616429730,62.2266,-6.589,8.0,4.63,klaksvik
359,US,1,59,1616429731,37.3834,-89.7168,16.11,4.12,cape girardeau
360,RU,86,98,1616429531,63.4453,120.3167,-27.87,2.04,verkhnevilyuysk
361,UA,100,56,1616429734,48.682,37.5327,3.56,0.61,krasnotorka
362,BR,75,79,1616429457,-3.3542,-64.7114,30.0,1.54,tefe
